Date,Open,High,Low,Close,Volume,Return,MA10,MA20,MA50,MA_Cross,Volatility,Volume_Change,Volume_MA20,High_Volume,Price_Change,Momentum_5,Momentum_10,Target
2021-05-10,879.2031788665513,882.7399146478764,871.0187391792962,873.3992309570312,13941237,-0.0028731783681227308,888.2355834960938,880.6100006103516,917.7566650390625,0,0.014570208997789215,0.1344901773586269,17283734.85,0,-2.51666259765625,-14.89532470703125,-5.282470703125,1
2021-05-11,868.320883202796,878.9991548596583,866.0536709526697,876.5506591796875,13478264,0.0036082333381528553,885.71904296875,879.5013610839844,916.9377685546875,0,0.014433380219312559,-0.03320888956984236,17255753.8,0,3.15142822265625,7.50433349609375,-25.1654052734375,0
2021-05-12,875.1676804843173,876.4372641804301,864.6934200952072,867.4819946289062,13177961,-0.010345853323831977,881.90341796875,879.5467010498047,915.5969702148437,0,0.01216485022264643,-0.022280539986455183,16869577.75,0,-9.06866455078125,-3.15142822265625,-38.15625,1
2021-05-14,874.2380874670803,880.5634577549068,864.2399737584975,878.432373046875,13291616,0.01262317660282175,877.9698974609375,879.6713928222656,913.7193115234375,0,0.012255339874985716,0.008624627133135387,16563599.1,0,10.95037841796875,2.8565673828125,-39.335205078125,1
2021-05-17,878.4323799585411,890.2895633789483,875.3036666921718,888.8839721679688,11873078,0.011898012233818367,876.4214233398437,880.035269165039,912.5816528320313,0,0.012459570615229806,-0.10672426889251085,16171067.2,0,10.45159912109375,12.96807861328125,-15.4847412109375,1
2021-05-18,898.2473602910601,908.0414631541172,894.3931533556103,901.398681640625,12064918,0.014079126032763511,877.7318359375,881.3014770507813,911.5500952148437,0,0.012707178325957219,0.0161575625124335,15991465.7,0,12.51470947265625,27.99945068359375,13.1041259765625,1
2021-05-19,897.7938805270868,914.3214965481936,894.1664727852633,905.52490234375,16317002,0.004577575702257475,881.3796936035156,883.4632141113282,910.5620703125,0,0.012051854986312243,0.35243372561670117,15883375.4,1,4.126220703125,28.9742431640625,36.47857666015625,0
2021-05-20,905.9103124284246,911.8049324349583,898.2473543943751,900.242431640625,11422532,-0.005833600698834984,884.3405944824219,885.373291015625,908.5968981933594,0,0.012182884166131475,-0.29996135319466166,15594318.6,0,-5.282470703125,32.76043701171875,29.6090087890625,1
2021-05-21,903.235087003718,911.2154560407944,900.5145161905418,908.018798828125,10785605,0.008638081159236366,887.5848937988281,887.5531616210938,907.0253063964843,0,0.012266679412694666,-0.05576057917806665,15409051.15,0,7.7763671875,29.58642578125,32.4429931640625,0
2021-05-24,910.4899555985552,911.3061808075764,898.7007755187158,900.3557739257812,8551760,-0.008439280015164363,890.0288818359375,889.3963562011719,905.274609375,0,0.012489241839049698,-0.2071135555214566,15245196.3,0,-7.66302490234375,11.4718017578125,24.43988037109375,0
